name,description,categories,crisisLine,businessLine,website,email,address,fax,cityState,payment,zip,accessibility,hours,languages
UCSF Dental Clinic,Low-cost dental clinic at UC school of dentistry in the Predoc clinic. Services include Preventative and Comprehensive Dental Care. $12 for appointments. $75 for emergency. Payment collected before treatment and strict late-arrival policy.,Medical/Health Services,,415-476-1891,dentistry.ucsf.edu,,"707 Parnassus, 1st Floor",,"San Francisco, CA",Private insurance or Low Fee,94143,,M-F 8:30am-5pm,
United Against Sexual Assault Of Sonoma County,"Rape Crisis Center. Services include 24-hour hotline counseling & referrals, hospital and courtroom accompaniment, prevention programs, community education, individua/group counseling. TDD: 707-545-6416","CA Rape Crisis Center, TDD",707-545-7273,707-545-7270,ourverity.org/,info@ourverity.org.,"835 Piner Rd, Ste D",707-545-8136,"Santa Rosa, CA",$0-25,95403,,M-F 9am-5pm,SPA
United Council of Human Services,"Drop-in center, case management, referrals, laundry (nominal fee), free voicemail, mail service, lockers, restrooms, showers, TV, breakfast, dinner, life skills, food, wheelchair accessible. Serves men; women; adults; homeless; trans community. TDD: 415-822-3436","Emergency Services, TDD",,415-671-1100,uchsmotherbrowns.org,,2111 Jennings Street,415-671-1101,"San Francisco, CA",Free,94124,Wheelchair,42983,SPA
"Valerie Igl, Mft","Counseling Services, Workshops, Groups Close to El Cerrito Plaza BART station. Services include EMDR, One on one therapy, family, couple, telephone sessions. Serves abuse survivors, addiction, disability, and sexual minorities (trans, bi, lesbian, kink, poly).","Counseling: Licensed, Body Work, LGBQQ, Transgender, LGBQQ",,510-527-5662,FeministTherapyAssociates.com,VALIGL@earthlink.net,P.O. Box 453,,"El Cerrito, CA","Sliding scale, $50-$150, Alameda County Medi-cal",94530,,,
Valley Crisis Center,"Serves survivors of domestic violence and /or sexual assault in Merced County. Services include emergency shelter, transportation, advocacy, court accompaniment, individual and group counseling, TRO's, community outreach and education","CA Rape Crisis Center, Domestic Violence",209-722-4357,209-725-7900,safemerced.org,,529 W. 19th Street,209-725-7908,"Merced, CA",Free,95340,Wheelchair,M-F 9am-5pm,"SPA, HMO, materials in braile"
Valley Oasis/ S.A.R.S.,"CA Rape Crisis Center- provde 1-1 counseling, medical & legal accompaniment.","CA Rape Crisis Center, Counseling: Peer, 24-Hour Services",800-723-7273,661-949-6143,valleyoasis.org,lrodriguez@avdvc.org,PO Box 2980,661-723-7456,"Lancaster, CA",Free,93539,Wheelchair,,SPA
Victim of Crime Resource Center,"Information & referral line for victims of crime throughout California. No documentation required; over the phone. Refer primarily to local Victim Witness offices, Rape Crisis & domestic violence centers. Also will give general information on the criminal justice system.",Legal: Services,800-842-8467,,1800victims.org,victims2@pacific.edu,3200 5th Ave.,916-739-7395,"Sacramento, CA",Free,95817,,M-F 8am-5pm,"SPA, JPN, KOR, CHI"
VIE Youth Development Center,"A multi service community based organization serving Tenderloin youth and other low-income disavantaged communities throughout San Francisco. Provides counseling, case management, educational assistance/tutoring, employment, delinquency prevention, case management, academic support, jobs for youth, leadership development, arts & media, substance abuse prevention, translation. Primarily serving Asian pacific islander youth living throughout San Francisco. Most programes ages 10-24 and specific program for 18+ monolingual or bilingual adults.","Job/Employment Services, Asian/Pacific Islander, Youth",,415-771-2600,vydc.org,info@vydc.org,166 Eddy St.,415-771-3917,"San Francisco, CA",Free,94102,Wheelchair,M-F 10am-6pm,"VIE, KHM, LAO"
Violence and Sexual Assault Support Services- Sacramento,Rape Crisis Center for students only. Counseling services for sexual assault survivors.,CA Rape Crisis Center,,916-278-6461,shcssacstate.org/wellness-promotion/violence-sexual-assault-support-services,heskin@skymail.csus.edu,6000 J Street,916-278-3799,"Sacramento, CA",Free counseling,95819,Wheelchair,,
W.O.M.A.N Inc.,"24 hr crisis line for battered women, individual/group counseling, referrals for help w/ restraining orders, daily bed count of area shelters. Groups and counseling for battered lesbians, Latina Services Program. Substance abuse issues OK (shelters may have varying requirements). Drop in Peer Counseling: FREE Mondays 2-3:30 pm Weds 11am-12:30 pm Friday 10 am- 1:30 pm","Domestic Violence, Shelter/Transitional Housing, Counseling: Peer",4158644722,415-864-4722,womaninc.org,,333 Valencia St. Suite 450,.,"San Francisco, CA",$0-60 for therapy,94103,Wheelchair,M-F 9am-5pm,SPA
Westside Community Mental Health Center,"No documentation required. Umbrella organization. Services include AIDS case management, adolescent drug treatment program, adult outpatient crisis clinic, methadone program, alcohol abusers program, & Tenderloin Detox Center. Works extensively with lesbians and transsexuals. Focus on serving African- American community. TDD: 415-353-5028","African American/Black, Counseling: Licensed, LGBQQ, TDD",,415-431-9000,westside-health.org/,info@westside-health.org,1153 Oak St.,415-431-1813,"San Francisco, CA",,94117,Wheelchair,M-F 8:30am-5pm,"SPA, FRE"
Westside Crisis Center,"Provides culturally competent crisis and urgent care services to San Francisco adults. Services include crisis psychiatric care, AIDS case management, outpatient services. Serves San Francisco residents ages 18+. Accepts Medi Cal and Medicare.",Counseling: Licensed,,415-355-0311,westside-health.org,crisisclinic@westside-health.org,245 11th St,415-335-0309,"San Francisco, CA",,94103,Wheelchair,"M-F 8am-6pm, Sa 9am-4pm",SPA
Whole Sexuality / Whole Selves,"Cultivate clear, flexible & healthy boundaries; Develop the ability to enjoy your own sexuality; Communicate more effectively in relatationships. Offers seminars and retreats for building healthy relationships, enhancing sexual self. Charna also offers individual and couples counseling.",Counseling: Licensed,,415-999-2422,passionatelife.org,info@passionatelife.org,"1231 Market St, 8th floor, Suite",810,"San Francisco, CA",,94103,,,
Wild Iris: Bishop,"CA Rape Crisis Center Offers sexual assault an domestic violence services, parenting classes, and transitional housing.","CA Rape Crisis Center, Domestic Violence, Child Sexual Abuse (Child Client), Shelter/Transitional Housing",877-873-7384,760-873-6601,wild-iris.org,lynne@wild-iris.org,150 N Main Street,760-873-8104,"Bishop, CA",Free,93515,Wheelchair,8am -5 pm M-F,SPA
Women Escaping A Violent Environment: Sacto,"Rape Crisis and Domestic Violence Services. Services include Emergency response team for sexual assault cases, individual and group counseling, legal advocacy, community education, domestic violence shelter. Sexual Assault services are free. DV Support Groups are free; DV Legal Services: $20/hr.","CA Rape Crisis Center, TDD, Trafficking/Forced Labor",866-920-2952,916-448-2321,weaveinc.org/,info@weaveinc.org,1900 K St,916-448-0270,"Sacramento, CA","SA: Free, DV: group free. Sliding scale all else",95811,Wheelchair,M-Thursday 9am-7pm Fridays 9-5,SPA
Women's Building,"A multi-ethnic, multi-cultural, multi-service center for women and girls. Mission is to provide women and girls with tools and resources they need to achieve full and equal participation in society. Services include Information & Referrals, Educational Support Services, Access to Technology, Yoga, Accupuncture, Feldenkrais Community Clinic, Income Tax Preparation, Financial Counseling, Job Search Assistance.","Job/Employment Services, Body Work, Immigrant Resources",,415-431-1180,womensbuilding.org,,3543 18th St,415-861-8969,"San Francisco, CA",Free,94110,Wheelchair,M-F 9am-5pm,SPA
Women's Cancer Resource Center,"Nonprofit organization serving women with cancer and their families. No documentation required. Has information and referral hotline, peer counseling, support groups, educational forums and workshops, library with info on women's health issues, altenative treatments, & cancer. Serves Women of color, lesbians, low income women. TDD: 510-548-9288","Support Groups, Hotlines, Counseling: Peer, TDD",888-420-7900,510-601-4040,wcrc.org,wcrc@wcrc.org,5741 Telegraph Ave.,510-601-4045,"Oakland, CA",Free,94609,Wheelchair,M-Th 10am-5pm,"SPA, ASL"
Women's Daytime Drop-in Center,"Drop-in center primarily for homeless women. Provides breakfast & lunch M-Sat, referrals, clothes, counseling, parenting classes, advocacy, NA groups, health and legal workshops. On-site medical services. Accepts children and pregnant women.","Emergency Services, Counseling: Peer, Medical/Health Services",510-548-2884,510-548-2884,womensdropin.org,staff@womensdropin.org,2218 Acton St.,510-549-4391,"Berkeley, CA",Free,94702,Wheelchair,M-F 9am-4pm,
"Women's Center- High Desert, Inc.",CA Rape Crisis Center- Ridgecrest. SA- 760-375-0745; DV- 760-375-7525; CA- 760- 375-7100. Offer peer counseling and shelter for survivors of human trafficking.,"CA Rape Crisis Center, Domestic Violence, Child Sexual Abuse (Child Client), Trafficking/Forced Labor",760-371-1969,760-371-1969,womenscenterhighdesert.org,womenscenter.hd@verizon.com,134 S. China Lake Blvd.,760-371-3449,"Ridgecrest, CA",Free,93555,Wheelchair,8 am -5 pm M-F,SPA
Women's Crisis Support - Defensa De Mujeres,"Culturally sensitive services providing counseling, support, advocacy, 24 hour bilingual/bicultural hotline, court accompaniment, legal advocacy, information and referral, support groups. Provide Shelters. Serves mainly Latina/o population, Santa Cruz County. TDD: 800-735-2929","CA Rape Crisis Center, Latina/o & Hispanic, Domestic Violence, 24-Hour Services, TDD",888-900-4232,831-722-4532,wcs-ddm.org,wcs-ddm.org/about/contact,233 East Lake Avenue,831-475-0580,"Watsonville, CA",Free,95076,Wheelchair,M-F 9am-5pm,SPA
Women's Crisis Support- Defensa de Mujeres,"CA Rape Crisis Line- Watsonville. Alt Crisis line- 831-685-3737. Toll Free# 1888-900- 4232. In addition to the hotline, WCS offers a crisis intervention program and a children and youth program.","CA Rape Crisis Center, 24-Hour Services, Domestic Violence, Trafficking/Forced Labor",888-900-4232,831-425-4030,wcs-ddm.org,laura@wcs-ddm.org,233 East lake Ave.,831-475-0580,"Watsonville, CA",Free,95076,,,SPA
Women's Resource Center,"CA Domestic Violence and Rape Crisis Center- Oceanside. Counseling, emergency services and shelter, support groups, crisis intervention. Free Clinic for DV survivors providing legal support on Tuesdays 9am to 2pm. No documentation required. Shelter is 18 and over- no pets.",CA Rape Crisis Center,760-757-3500,760-757-3500,wrcsd.org,lmarva.bledsoe@wrcsd.org,1963 Apple St,760-757-0680,"Oceanside, CA",Free,92054,,M-F 9am-5pm,SPA
Women's Therapy Center (WTC),"Women's Therapy Center of Berkeley, California, is a non-profit organization founded in 1978 to offer affordable therapy and in depth professional training to the San Francisco Bay Area community. Serves Women, youth and Couples","Counseling: Licensed, Body Work",510-524-8288,510-524-4822,womenstherapy.org/,,2105 Martin Luther King Jr. Way,(510) 524-8292,"Berkeley, CA",,94704,,,
Workers' Rights Legal Aid & Clinic Information Line,Agency which assists people being discriminated against at their job related to Domestic Violence. Provide information & referral only; do not represent clients in court. No documentation required. Clinic Information Line: 866-864-8208,"Legal: Services, Domestic Violence",,415-864-8208,las-elc.org,info@las-elc.org,180 Montgomery St Suite 600,415-593-0096,"San Francisco, CA",Free,94104,,M-F 9am-5pm,"SPA, CHI, CAN"
WORLD,"Women Organized to Responding to Life Threatening Diseases. Organization serving HIV+ women and their friends and family. Need letter of diagnosis and income varification. No documentation required. Services include Hotline staffed by HIV+ women. Serves HIV+ women, substance use, incarcerated. Offer HIV testing.","HIV/AIDS, Support Groups, Significant Others",,510-986-0340,womenhiv.org,,449 15th St Suite 303,510-986-0341,"Oakland, CA",Free,94612,Wheelchair,M-F 9am-5pm,SPA
Writing Ourselves Whole,"Writing Ourselves Home: Transformative writing for women. Provides Workshops and classes for survivors of sexual trauma, LGBTQQI youth, student activists, adult learners.","Counseling: Peer, LGBQQ, Youth",,415-608-3398,writingourselveswhole.org,,,,"San Francisco, CA",,,,,
Young Women's Empowerment Project,"Run by Legal Services for Children. Services include counseling, advice, direct representation concerning legal guardianships, emancipation, foster care, dependency, school discipline (suspensions/ expulsions), special education. Serves female and male youth ages 12-17. Warm lines Mon/Weds/Thurs 1:30- 4:30. Walk in Weds 4-6 Thurs 3-5","Legal: Services, Youth",,415-863-3762,lsc-sf.org,,"1254 Market St., 3rd Floor",415.863-7708,"San Francisco, CA",Free,94102,,Warm lines: Mon/Weds/Thurs 1:30-4:30 Walk ins: Weds 4- 6/Thurs 3-5,"SPA, Varies"
YouthLine Technology,"A technology program focused on giving youth intro level tech skills to apply to carreers of their choosing. Offer information, resources, and support through TV show and website. TV show is on Public Access channel 76 or 29 at 6pm every Tuesday. Serves youth ages 14-24, but if 18-24 years old the client must be on probation.",Youth,,415-977-6949,youthlinesf.org;youthlinemedia.org,,271 Austin St,415-977-6950,"San Francisco, CA",Free,94109,,M-F 1pm-7pm,SPA
YWCA Greater Los Angeles,CA Rape Crisis Center- Compton,CA Rape Crisis Center,877-943-5778,213-365-2991,ywcagla.org,alva.moreno@wcagla.org,1020 Olive St 7th Floor,,"Los Angeles, CA",,90015,,,
YWCA of Silicon Valley Rape Crisis Center,"Provide services for survivors of rape, incest, sexual assault, and childhood sexual abuse, their friends and family. Services include Community presentations and speakers, individual and group counseling, self-defense classes, community outreach. Serves Euro-American, African American, Latino American, Asian American populations. Other: 408-287-3000",CA Rape Crisis Center,650-493-7273,408-295-4011,ywca-sv.org/programs/rape_crisis_center.php,,375 South Third Street,408-295-0608,"San Jose, CA",Sliding scale,95112,Wheelchair,M-F 9am-5pm,"SPA, FRE, materials in braile"
YWCA Rape Crisis Center: Santa Clara,"Rape crisis center for Santa Clara County. Services include Speakers bureaus, community prevention programs, 24 hour crisis line, advocacy and accompaniment to hospitals, police, court for sexual assault survivors and significant others.","CA Rape Crisis Center, 24-Hour Services",408-287-3000,408-295-4011,ywca-sv.org,sbarnes@ywca-svg.org,375 South 3rd St,408-295-0608,"San Jose, CA","Private insurance, Sliding scale",95112,Wheelchair,M-F 9am-5pm,"SPA, CAN, JPN, ASL, HIN"
